Aramus guarauna
Cariama cristata
Eurypyga helias
Grus americana
Grus grus
Balearica regulorum
Heliornis fulica
Otis tarda
Neotis denhami
Ardeotis australis
Ardeotis kori
Porzana carolina
Amaurornis phoenicurus
Rallus limicola
Pardirallus sanguinolentus
Laterallus
Gallinula tenebrosa
Gallirallus philippensis
Gallirallus australis
Aramides saracura
Aramides ypecaha
Fulica americana
Fulica alai
Fulica ardesiaca
Fulica atra
Fulica leucoptera
Fulica cristata
Fulica armillata
Fulica rufifrons
Porphyrio martinica
Francolinus pondicerianus
Coturnix
Perdix perdix
Alectoris chukar
Alectoris rufa
Gallus gallus
Bonasa umbellus
Meleagris gallopavo
Meleagris ocellata
Lagopus lagopus
Lagopus muta
Lagopus leucura
Phasianus colchicus
Tetrao urogallus
Tympanuchus cupido
Tympanuchus phasianellus
Lophura leucomelanos
Lophura nycthemera
Syrmaticus
Pavo cristatus
Bambusicola
Chrysolophus pictus
Dendragapus obscurus
Centrocercus urophasianus
Colinus virginianus
Odontophorus
Cyrtonyx montezumae
Oreortyx pictus
Callipepla gambelii
Callipepla californica
Callipepla douglasii
Callipepla squamata
Numida meleagris
Guttera pucherani
Galbula ruficauda
Malacoptila panamensis
Monasa nigrifrons
Nystalus
Opisthocomus hoazin
Centropus superciliosus
Centropus bengalensis
Centropus senegalensis
Centropus sinensis
Centropus phasianinus
Chrysococcyx lucidus
Chrysococcyx klaas
Chrysococcyx caprius
Piaya cayana
Clamator glandarius
Clamator jacobinus
Cacomantis flabelliformis
Coua
Cuculus canorus
Scythrops novaehollandiae
Coccyzus erythropthalmus
Coccyzus minor
Coccyzus americanus
Crotophaga major
Crotophaga ani
Crotophaga sulcirostris
Guira guira
Geococcyx californianus
Geococcyx velox
Tapera naevia
Megapodius reinwardt
Alectura lathami
Crax fasciolata
Crax rubra
Penelope obscura
Penelope purpurascens
Penelope montagnii
Chamaepetes unicolor
Ortalis wagleri
Ortalis cinereiceps
Ortalis poliocephala
Ortalis vetula
Pipile
Todus
Momotus mexicanus
Electron platyrhynchum
Baryphthengus martii
Eumomota superciliosa
Merops pusillus
Merops apiaster
Merops hirundineus
Merops leschenaulti
Merops philippinus
Merops nubicus
Merops orientalis
Merops ornatus
Merops persicus
Merops bullockoides
Coracias abyssinicus
Coracias garrulus
Coracias caudatus
Coracias benghalensis
Eurystomus glaucurus
Eurystomus orientalis
Halcyon leucocephala
Halcyon chelicuti
Halcyon senegalensis
Halcyon albiventris
Pelargopsis capensis
Dacelo novaeguineae
Dacelo leachii
Todiramphus sanctus
Todiramphus macleayii
Megaceryle alcyon
Megaceryle torquata
Alcedo atthis
Ceryle rudis
Chloroceryle americana
Chloroceryle aenea
Chloroceryle amazona
Ptilinopus
Streptopelia orientalis
Streptopelia tranquebarica
Streptopelia turtur
Streptopelia decipiens
Streptopelia capicola
Streptopelia roseogrisea
Streptopelia decaocto
Streptopelia semitorquata
Columba arquatrix
Columba livia
Columba oenas
Columba guinea
Columba palumbus
Columba leucomela
Patagioenas squamosa
Patagioenas cayennensis
Patagioenas leucocephala
Patagioenas picazuro
Patagioenas maculosa
Patagioenas fasciata
